IncomeBucket,Year-1,GII,Year,Country,Code,Country-1,Country-2,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Agriculture-1,Arable-1,Area-1,Birthrate-1,EducationIndexBucket,Date,GIvsEI,Climate-1,Coastline-1,Country (Sheet1),Country-3,Country-4,Crops-1,Deathrate-1,EI,GDP-1,GII-1,HDI Rank (2015),HDI Rank,Industry-1,Infant mortality-1,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Population-1,Region-1,Service-1,Year-2,Year-3
H,2000,,2000,Slovenia,SVN,Slovenia,Slovenia,EASTERN EUROPE,2010347,20273,99.16,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603,0.028,8.6,20273,8.98,High (0.780 - 0.939),1/1/2000,,,0.23,Slovenia,Slovenia,Slovenia,1.49,10.31,0.795,19000,,25,25,0.369,4.45,99.7,1.12,1,89.91,406.1,99.16,2010347,EASTERN EUROPE,0.603,2000,2000
H,2000,0.119,2000,Spain,ESP,Spain,Spain,WESTERN EUROPE,40397842,504782,80.03,0.98,0.99,4.42,22000,97.9,453.54,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665,0.04,26.07,504782,10.06,Upper-Medium (0.659 - 0.780),1/1/2000,0.166201117,3,0.98,Spain,Spain,Spain,9.87,9.72,0.716,22000,0.119,27,27,0.295,4.42,97.9,0.99,1,64.06,453.54,80.03,40397842,WESTERN EUROPE,0.665,2000,2000
L,2000,,2000,Sudan,SDN,Sudan,Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.46,0.03,-0.02,62.5,1900,61.1,16.25,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41,0.387,6.83,2505810,34.53,"Low (
0.206 - 0.498)",1/1/2000,,2,0.03,Sudan,Sudan,Sudan,0.18,8.97,0.238,1900,,165,165,0.203,62.5,61.1,-0.02,1,92.99,16.25,16.46,41236378,SUB-SAHARAN AFRICA,0.41,2000,2000
LM,2000,,2000,Suriname,SUR,Suriname,Suriname,LATIN AMER. & CARIB,439117,163270,2.69,0.24,-8.81,23.57,4000,93,184.69,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65,0.13,0.37,163270,18.02,,1/1/2000,,2,0.24,Suriname,Suriname,Suriname,0.06,7.27,,4000,,97,97,0.22,23.57,93,-8.81,1,99.57,184.69,2.69,439117,LATIN AMER. & CARIB,0.65,2000,2000
LM,2000,0.661,2000,Swaziland,SWZ,Swaziland,Swaziland,SUB-SAHARAN AFRICA,1136334,17363,65.45,0,0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366,0.119,10.35,17363,27.41,"Low (
0.206 - 0.498)",1/1/2000,1.443231441,2.5,0,Swaziland,Swaziland,Swaziland,0.7,29.74,0.458,4900,0.661,148,148,0.515,69.27,81.6,0,1,88.95,30.8,65.45,1136334,SUB-SAHARAN AFRICA,0.366,2000,2000
H,2000,0.062,2000,Sweden,SWE,Sweden,Sweden,WESTERN EUROPE,9016596,449964,20.04,0.72,1.67,2.77,26800,99,715.01,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707,0.011,6.54,449964,10.27,High (0.780 - 0.939),1/1/2000,0.075334143,3,0.72,Sweden,Sweden,Sweden,0.01,10.31,0.823,26800,0.062,14,14,0.282,2.77,99,1.67,1,93.45,715.01,20.04,9016596,WESTERN EUROPE,0.707,2000,2000
H,2000,0.094,2000,Switzerland,CHE,Switzerland,Switzerland,WESTERN EUROPE,7523934,41290,182.22,0,4.05,4.39,32700,99,680.89,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645,0.015,10.42,41290,9.71,High (0.780 - 0.939),1/1/2000,0.117061021,3,0,Switzerland,Switzerland,Switzerland,0.61,8.49,0.803,32700,0.094,2,2,0.34,4.39,99,4.05,1,88.97,680.89,182.22,7523934,WESTERN EUROPE,0.645,2000,2000
L,2000,0.41,2000,Tajikistan,TJK,Tajikistan,Tajikistan,C.W. OF IND. STATES,7320815,143100,51.16,0,-2.86,110.76,1000,99.4,33.49,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48,0.234,6.61,143100,32.65,Low-Medium (0.498 - 0.659),1/1/2000,0.657051282,2,0,Tajikistan,Tajikistan,Tajikistan,0.92,8.25,0.624,1000,0.41,129,129,0.286,110.76,99.4,-2.86,1,92.47,33.49,51.16,7320815,C.W. OF IND. STATES,0.48,2000,2000
LM,2000,0.397,2000,Thailand,THA,Thailand,Thailand,ASIA (EX. NEAR EAST),64631595,514000,125.74,0.63,0,20.48,7400,92.6,108.85,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46,0.099,29.36,514000,13.87,Low-Medium (0.498 - 0.659),1/1/2000,0.767891683,2,0.63,Thailand,Thailand,Thailand,6.46,7.04,0.517,7400,0.397,87,87,0.441,20.48,92.6,0,1,64.18,108.85,125.74,64631595,ASIA (EX. NEAR EAST),0.46,2000,2000
L,2000,0.665,2000,Togo,TGO,Togo,Togo,SUB-SAHARAN AFRICA,5548702,56785,97.71,0.1,0,66.61,1500,60.9,10.56,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401,0.395,46.15,56785,37.01,"Low (
0.206 - 0.498)",1/1/2000,1.683544304,2,0.1,Togo,Togo,Togo,2.21,9.83,0.395,1500,0.665,166,166,0.204,66.61,60.9,0,1,51.64,10.56,97.71,5548702,SUB-SAHARAN AFRICA,0.401,2000,2000
LM,2000,0.671,2000,Tonga,TON,Tonga,Tonga,OCEANIA,114689,748,153.33,56.02,0,12.62,2200,98.5,97.66,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5,0.23,23.61,748,25.37,Upper-Medium (0.659 - 0.780),1/1/2000,1,2,56.02,Tonga,Tonga,Tonga,43.06,5.28,0.671,2200,0.671,101,101,0.27,12.62,98.5,0,1,33.33,97.66,153.33,114689,OCEANIA,0.5,2000,2000
LM,2000,0.427,2000,Tunisia,TUN,Tunisia,Tunisia,NORTHERN AFRICA,10175014,163610,62.19,0.7,-0.57,24.77,6900,74.2,123.59,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55,0.132,17.86,163610,15.52,Low-Medium (0.498 - 0.659),1/1/2000,0.811787072,3,0.7,Tunisia,Tunisia,Tunisia,13.74,5.13,0.526,6900,0.427,97,97,0.318,24.77,74.2,-0.57,1,68.4,123.59,62.19,10175014,NORTHERN AFRICA,0.55,2000,2000
UM,2000,0.589,2000,Turkey,TUR,Turkey,Turkey,NEAR EAST,70413958,780580,90.21,0.92,0,41.04,6700,86.5,269.52,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585,0.117,30.93,780580,16.62,"Low (
0.206 - 0.498)",1/1/2000,1.194726166,3,0.92,Turkey,Turkey,Turkey,3.31,5.97,0.493,6700,0.589,71,71,0.298,41.04,86.5,0,1,65.76,269.52,90.21,70413958,NEAR EAST,0.585,2000,2000
LM,2000,,2000,Turkmenistan,TKM,Turkmenistan,Turkmenistan,C.W. OF IND. STATES,5042920,488100,10.33,0,-0.86,73.08,5800,98,74.58,3.72,0.14,96.14,1,27.61,8.6,0.209,0.38,0.411,0.209,3.72,488100,27.61,,1/1/2000,,1,0,Turkmenistan,Turkmenistan,Turkmenistan,0.14,8.6,,5800,,111,111,0.38,73.08,98,-0.86,1,96.14,74.58,10.33,5042920,C.W. OF IND. STATES,0.411,2000,2000
L,2000,0.643,2000,Uganda,UGA,Uganda,Uganda,SUB-SAHARAN AFRICA,28195754,236040,119.45,0,0,67.83,1400,69.9,3.58,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469,0.311,25.88,236040,47.35,"Low (
0.206 - 0.498)",1/1/2000,1.495348837,2,0,Uganda,Uganda,Uganda,10.65,12.24,0.43,1400,0.643,163,163,0.222,67.83,69.9,0,1,63.47,3.58,119.45,28195754,SUB-SAHARAN AFRICA,0.469,2000,2000
L,2000,0.384,2000,Ukraine,UKR,Ukraine,Ukraine,C.W. OF IND. STATES,46710816,603700,77.37,0.46,-0.39,20.34,5400,99.7,259.94,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361,0.187,56.21,603700,8.82,Upper-Medium (0.659 - 0.780),1/1/2000,0.531855956,3,0.46,Ukraine,Ukraine,Ukraine,1.61,14.39,0.722,5400,0.384,84,84,0.452,20.34,99.7,-0.39,1,42.18,259.94,77.37,46710816,C.W. OF IND. STATES,0.361,2000,2000
UM,2000,0.389,2000,Uruguay,URY,Uruguay,Uruguay,LATIN AMER. & CARIB,3431932,176220,19.48,0.37,-0.32,11.95,12800,98,291.38,7.43,0.23,92.34,3,13.91,9.05,0.093,0.311,0.596,0.093,7.43,176220,13.91,Upper-Medium (0.659 - 0.780),1/1/2000,0.588502269,3,0.37,Uruguay,Uruguay,Uruguay,0.23,9.05,0.661,12800,0.389,54,54,0.311,11.95,98,-0.32,1,92.34,291.38,19.48,3431932,LATIN AMER. & CARIB,0.596,2000,2000
L,2000,,2000,Uzbekistan,UZB,Uzbekistan,Uzbekistan,C.W. OF IND. STATES,27307134,447400,61.04,0,-1.72,71.1,1700,99.3,62.88,10.83,0.83,88.34,1,26.36,7.84,0.342,0.229,0.43,0.342,10.83,447400,26.36,Low-Medium (0.498 - 0.659),1/1/2000,,1,0,Uzbekistan,Uzbekistan,Uzbekistan,0.83,7.84,0.601,1700,,105,105,0.229,71.1,99.3,-1.72,1,88.34,62.88,61.04,27307134,C.W. OF IND. STATES,0.43,2000,2000
L,2000,0.347,2000,VietNam,VNM,Vietnam,Vietnam,ASIA (EX. NEAR EAST),84402966,329560,256.11,1.05,-0.45,25.95,2500,90.3,187.73,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381,0.209,19.97,329560,16.86,"Low (
0.206 - 0.498)",1/1/2000,0.732067511,2,1.05,Vietnam,VietNam,VietNam,5.95,6.22,0.474,2500,0.347,115,115,0.41,25.95,90.3,-0.45,1,74.08,187.73,256.11,84402966,ASIA (EX. NEAR EAST),0.381,2000,2000
L,2000,0.626,2000,Zambia,ZMB,Zambia,Zambia,SUB-SAHARAN AFRICA,11502010,752614,15.28,0,0,88.29,800,80.6,8.23,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489,0.22,7.08,752614,41,"Low (
0.206 - 0.498)",1/1/2000,1.337606838,2,0,Zambia,Zambia,Zambia,0.03,19.93,0.468,800,0.626,139,139,0.29,88.29,80.6,0,1,92.9,8.23,15.28,11502010,SUB-SAHARAN AFRICA,0.489,2000,2000
L,2000,0.631,2000,Zimbabwe,ZWE,Zimbabwe,Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,31.33,0,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579,0.179,8.32,390580,28.01,"Low (
0.206 - 0.498)",1/1/2000,1.293032787,2,0,Zimbabwe,Zimbabwe,Zimbabwe,0.34,21.84,0.488,1900,0.631,154,154,0.243,67.69,90.7,0,1,91.34,26.8,31.33,12236805,SUB-SAHARAN AFRICA,0.579,2000,2000
L,2005,0.739,2005,Afghanistan,AFG,Afghanistan,Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,47.96,0,23.06,163.07,700,36,3.22,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,0.38,12.13,647500,46.6,"Low (
0.206 - 0.498)",1/1/2005,2.368589744,1,0,Afghanistan,Afghanistan,Afghanistan,0.22,20.34,0.312,700,0.739,169,169,0.24,163.07,36,23.06,1,87.65,3.22,47.96,31056997,ASIA (EX. NEAR EAST),0.38,2005,2005
LM,2005,0.332,2005,Albania,ALB,Albania,Albania,EASTERN EUROPE,3581655,28748,124.59,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579,0.232,21.09,28748,15.11,Low-Medium (0.498 - 0.659),1/1/2005,0.543371522,3,1.26,Albania,Albania,Albania,4.42,5.22,0.611,4500,0.332,75,75,0.188,21.52,86.5,-4.93,1,74.49,71.2,124.59,3581655,EASTERN EUROPE,0.579,2005,2005
LM,2005,0.561,2005,Algeria,DZA,Algeria,Algeria,NORTHERN AFRICA,32930091,2381740,13.83,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298,0.101,3.22,2381740,17.14,Low-Medium (0.498 - 0.659),1/1/2005,1.003577818,1,0.04,Algeria,Algeria,Algeria,0.25,4.61,0.559,6000,0.561,83,83,0.6,31,70,-0.39,1,96.53,78.1,13.83,32930091,NORTHERN AFRICA,0.298,2005,2005
UM,2005,0.374,2005,Argentina,ARG,Argentina,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.43,0.18,0.61,15.18,11200,97.1,220.43,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,0.095,12.31,2766890,16.73,Upper-Medium (0.659 - 0.780),1/1/2005,0.498002663,3,0.18,Argentina,Argentina,Argentina,0.48,7.55,0.751,11200,0.374,45,45,0.358,15.18,97.1,0.61,1,87.21,220.43,14.43,39921833,LATIN AMER. & CARIB,0.547,2005,2005
LM,2005,0.406,2005,Armenia,ARM,Armenia,Armenia,C.W. OF IND. STATES,2976372,29800,99.88,0,-6.47,23.28,3500,98.6,195.71,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418,0.239,17.55,29800,12.07,Upper-Medium (0.659 - 0.780),1/1/2005,0.607784431,4,0,Armenia,Armenia,Armenia,2.3,8.23,0.668,3500,0.406,84,84,0.343,23.28,98.6,-6.47,1,80.15,195.71,99.88,2976372,C.W. OF IND. STATES,0.418,2005,2005
H,2005,0.139,2005,Australia,AUS,Australia,Australia,OCEANIA,20264082,7686850,2.64,0.34,3.98,4.69,29000,100,565.53,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,0.038,6.55,7686850,12.14,High (0.780 - 0.939),1/1/2005,0.15359116,1,0.34,Australia,Australia,Australia,0.04,7.51,0.905,29000,0.139,2,2,0.262,4.69,100,3.98,1,93.41,565.53,2.64,20264082,OCEANIA,0.7,2005,2005
H,2005,0.118,2005,Austria,AUT,Austria,Austria,WESTERN EUROPE,8192880,83870,97.69,0,2,4.66,30000,98,452.22,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,0.018,16.91,83870,8.74,Upper-Medium (0.659 - 0.780),1/1/2005,0.157543391,3,0,Austria,Austria,Austria,0.86,9.76,0.749,30000,0.118,24,24,0.304,4.66,98,2,1,82.23,452.22,97.69,8192880,WESTERN EUROPE,0.678,2005,2005
LM,2005,0.324,2005,Azerbaijan,AZE,Azerbaijan,Azerbaijan,C.W. OF IND. STATES,7961619,86600,91.94,0,-4.9,81.74,3400,97,137.08,19.63,2.71,77.66,1,20.74,9.75,0.141,0.457,0.402,0.141,19.63,86600,20.74,Low-Medium (0.498 - 0.659),1/1/2005,0.496932515,1,0,Azerbaijan,Azerbaijan,Azerbaijan,2.71,9.75,0.652,3400,0.324,78,78,0.457,81.74,97,-4.9,1,77.66,137.08,91.94,7961619,C.W. OF IND. STATES,0.402,2005,2005
H,2005,0.358,2005,Bahamas,BHS,Bahamas,Bahamas,LATIN AMER. & CARIB,303770,13940,21.79,25.41,-2.2,25.21,16700,95.6,460.55,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9,0.03,0.8,13940,17.57,Upper-Medium (0.659 - 0.780),1/1/2005,0.50493653,2,25.41,Bahamas,Bahamas,Bahamas,0.4,9.05,0.709,16700,0.358,58,58,0.07,25.21,95.6,-2.2,1,98.8,460.55,21.79,303770,LATIN AMER. & CARIB,0.9,2005,2005
H,2005,0.331,2005,Bahrain,BHR,Bahrain,Bahrain,NEAR EAST,698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.28,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608,0.005,2.82,665,17.8,Upper-Medium (0.659 - 0.780),1/1/2005,0.486049927,1,24.21,Bahrain,Bahrain,Bahrain,5.63,4.14,0.681,16900,0.331,47,47,0.387,17.27,89.1,1.05,1,91.55,281.28,1050.5,698585,NEAR EAST,0.608,2005,2005
L,2005,0.591,2005,Bangladesh,BGD,Bangladesh,Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,1023.37,0.4,-0.71,62.6,1900,43.1,7.26,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603,0.199,62.11,144000,29.8,"Low (
0.206 - 0.498)",1/1/2005,1.531088083,2,0.4,Bangladesh,Bangladesh,Bangladesh,3.07,8.27,0.386,1900,0.591,139,139,0.198,62.6,43.1,-0.71,1,34.82,7.26,1023.37,147365352,ASIA (EX. NEAR EAST),0.603,2005,2005
UM,2005,0.345,2005,Barbados,BRB,Barbados,Barbados,LATIN AMER. & CARIB,279912,431,649.45,22.51,-0.31,12.5,15700,97.4,481.94,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,0.06,37.21,431,12.71,Upper-Medium (0.659 - 0.780),1/1/2005,0.480501393,2,22.51,Barbados,Barbados,Barbados,2.33,8.67,0.718,15700,0.345,54,54,0.16,12.5,97.4,-0.31,1,60.46,481.94,649.45,279912,LATIN AMER. & CARIB,0.78,2005,2005
LM,2005,,2005,Belarus,BLR,Belarus,Belarus,C.W. OF IND. STATES,10293011,207600,49.58,0,2.54,13.37,6100,99.6,319.08,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591,0.093,29.55,207600,11.16,Upper-Medium (0.659 - 0.780),1/1/2005,,4,0,Belarus,Belarus,Belarus,0.6,14.02,0.716,6100,,52,52,0.316,13.37,99.6,2.54,1,69.85,319.08,49.58,10293011,C.W. OF IND. STATES,0.591,2005,2005
H,2005,0.104,2005,Belgium,BEL,Belgium,Belgium,WESTERN EUROPE,10379067,30528,339.99,0.22,1.23,4.68,29100,98,462.57,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749,0.01,23.28,30528,10.38,High (0.780 - 0.939),1/1/2005,0.13164557,3,0.22,Belgium,Belgium,Belgium,0.4,10.27,0.79,29100,0.104,22,22,0.24,4.68,98,1.23,1,76.32,462.57,339.99,10379067,WESTERN EUROPE,0.749,2005,2005
UM,2005,0.464,2005,Belize,BLZ,Belize,Belize,LATIN AMER. & CARIB,287730,22966,12.53,1.68,0,25.69,4900,94.1,115.73,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612,0.142,2.85,22966,28.84,Upper-Medium (0.659 - 0.780),1/1/2005,0.677372263,2,1.68,Belize,Belize,Belize,1.71,5.72,0.685,4900,0.464,103,103,0.152,25.69,94.1,0,1,95.44,115.73,12.53,287730,LATIN AMER. & CARIB,0.612,2005,2005
L,2005,0.656,2005,Benin,BEN,Benin,Benin,SUB-SAHARAN AFRICA,7862944,112620,69.82,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546,0.316,18.08,112620,38.85,"Low (
0.206 - 0.498)",1/1/2005,1.964071856,2,0.11,Benin,Benin,Benin,2.4,12.22,0.334,1100,0.656,167,167,0.138,85,40.9,0,1,79.52,9.7,69.82,7862944,SUB-SAHARAN AFRICA,0.546,2005,2005
L,2005,,2005,Bhutan,BTN,Bhutan,Bhutan,ASIA (EX. NEAR EAST),2279723,47000,48.5,0,0,100.44,1300,42.2,14.34,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363,0.258,3.09,47000,33.65,,1/1/2005,,2,0,Bhutan,Bhutan,Bhutan,0.43,12.7,,1300,,132,132,0.379,100.44,42.2,0,1,96.48,14.34,48.5,2279723,ASIA (EX. NEAR EAST),0.363,2005,2005
UM,2005,0.523,2005,Botswana,BWA,Botswana,Botswana,SUB-SAHARAN AFRICA,1639833,600370,2.73,0,0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,0.024,0.469,0.507,0.024,0.65,600370,23.08,Low-Medium (0.498 - 0.659),1/1/2005,0.863036304,1,0,Botswana,Botswana,Botswana,0.01,29.5,0.606,9000,0.523,108,108,0.469,54.58,79.8,0,1,99.34,80.5,2.73,1639833,SUB-SAHARAN AFRICA,0.507,2005,2005
LM,2005,0.469,2005,Brazil,BRA,Brazil,Brazil,LATIN AMER. & CARIB,188078227,8511965,22.1,0.09,-0.03,29.61,7600,86.4,225.34,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516,0.084,6.96,8511965,16.56,Low-Medium (0.498 - 0.659),1/1/2005,0.798977853,2,0.09,Brazil,Brazil,Brazil,0.9,6.17,0.587,7600,0.469,79,79,0.4,29.61,86.4,-0.03,1,92.15,225.34,22.1,188078227,LATIN AMER. & CARIB,0.516,2005,2005
LM,2005,0.251,2005,Bulgaria,BGR,Bulgaria,Bulgaria,EASTERN EUROPE,7385367,110910,66.59,0.32,-4.58,20.55,7600,98.6,336.27,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603,0.093,40.02,110910,9.65,Upper-Medium (0.659 - 0.780),1/1/2005,0.351048951,3,0.32,Bulgaria,Bulgaria,Bulgaria,1.92,14.27,0.715,7600,0.251,56,56,0.304,20.55,98.6,-4.58,1,58.06,336.27,66.59,7385367,EASTERN EUROPE,0.603,2005,2005
L,2005,0.527,2005,Burundi,BDI,Burundi,Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,0,-0.06,69.29,600,51.6,3.42,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334,0.463,35.05,27830,42.22,"Low (
0.206 - 0.498)",1/1/2005,2.195833333,2,0,Burundi,Burundi,Burundi,14.02,13.46,0.24,600,0.527,184,184,0.203,69.29,51.6,-0.06,1,50.93,3.42,290.7,8090068,SUB-SAHARAN AFRICA,0.334,2005,2005
L,2005,0.561,2005,Cambodia,KHM,Cambodia,Cambodia,ASIA (EX. NEAR EAST),13881427,181040,76.68,0.24,0,71.48,1900,69.4,2.62,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,0.35,20.96,181040,26.9,"Low (
0.206 - 0.498)",1/1/2005,1.406015038,2,0.24,Cambodia,Cambodia,Cambodia,0.61,9.06,0.399,1900,0.561,143,143,0.3,71.48,69.4,0,1,78.43,2.62,76.68,13881427,ASIA (EX. NEAR EAST),0.35,2005,2005
LM,2005,0.661,2005,Cameroon,CMR,Cameroon,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,0.448,12.81,475440,33.89,"Low (
0.206 - 0.498)",1/1/2005,1.6525,1.5,0.08,Cameroon,Cameroon,Cameroon,2.58,13.47,0.4,1800,0.661,153,153,0.17,68.26,79,0,1,84.61,5.73,36.47,17340702,SUB-SAHARAN AFRICA,0.382,2005,2005
H,2005,0.132,2005,Canada,CAN,Canada,Canada,NORTHERN AMERICA,33098932,9984670,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,0.022,4.96,9984670,10.78,High (0.780 - 0.939),1/1/2005,0.155844156,,2.02,Canada,Canada,Canada,0.02,7.8,0.847,29800,0.132,10,10,0.294,4.75,97,5.96,1,95.02,552.16,3.31,33098932,NORTHERN AMERICA,0.684,2005,2005
L,2005,,2005,Chad,TCD,Chad,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406,0.335,2.86,1284000,45.73,"Low (
0.206 - 0.498)",1/1/2005,,2,0,Chad,Chad,Chad,0.02,16.38,0.202,1200,,186,186,0.259,93.82,47.5,-0.11,1,97.12,1.31,7.74,9944201,SUB-SAHARAN AFRICA,0.406,2005,2005
UM,2005,0.386,2005,Chile,CHL,Chile,Chile,LATIN AMER. & CARIB,16134219,756950,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,0.06,2.65,756950,15.23,Upper-Medium (0.659 - 0.780),1/1/2005,0.527322404,3,0.85,Chile,Chile,Chile,0.42,5.81,0.732,9900,0.386,38,38,0.493,8.8,96.2,0,1,96.93,212.96,21.31,16134219,LATIN AMER. & CARIB,0.447,2005,2005
LM,2005,0.228,2005,China,CHN,China,China,ASIA (EX. NEAR EAST),1313973713,9596960,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,0.125,15.4,9596960,13.25,Low-Medium (0.498 - 0.659),1/1/2005,0.426168224,1.5,0.15,China,China,China,1.25,6.97,0.535,5000,0.228,90,90,0.473,24.18,90.9,-0.4,1,83.35,266.7,136.92,1313973713,ASIA (EX. NEAR EAST),0.403,2005,2005
LM,2005,0.484,2005,Colombia,COL,Colombia,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,0.125,2.42,1138910,20.48,Low-Medium (0.498 - 0.659),1/1/2005,0.886446886,2,0.28,Colombia,Colombia,Colombia,1.67,5.58,0.546,6300,0.484,95,95,0.342,20.97,92.5,-0.31,1,95.91,176.15,38.28,43593035,LATIN AMER. & CARIB,0.533,2005,2005
UM,2005,0.164,2005,Croatia,HRV,Croatia,Croatia,EASTERN EUROPE,4494749,56542,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,0.07,26.09,56542,9.61,Upper-Medium (0.659 - 0.780),1/1/2005,0.230985915,,10.32,Croatia,Croatia,Croatia,2.27,11.48,0.71,10600,0.164,45,45,0.308,6.84,98.5,1.58,1,71.65,420.38,79.49,4494749,EASTERN EUROPE,0.622,2005,2005
LM,2005,0.343,2005,Cuba,CUB,Cuba,Cuba,LATIN AMER. & CARIB,11382820,110860,102.68,3.37,-1.58,6.33,2900,97,74.67,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684,0.055,33.05,110860,11.89,Upper-Medium (0.659 - 0.780),1/1/2005,0.464769648,2,3.37,Cuba,Cuba,Cuba,7.6,7.22,0.738,2900,0.343,68,68,0.261,6.33,97,-1.58,1,59.35,74.67,102.68,11382820,LATIN AMER. & CARIB,0.684,2005,2005
H,2005,0.14,2005,Cyprus,CYP,Cyprus,Cyprus,NEAR EAST,784301,9250,84.79,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765,0.037,7.79,9250,12.56,Upper-Medium (0.659 - 0.780),1/1/2005,0.192572215,3,7.01,Cyprus,Cyprus,Cyprus,4.44,7.68,0.727,19200,0.14,33,33,0.198,7.18,97.6,0.43,1,87.77,,84.79,784301,NEAR EAST,0.765,2005,2005
H,2005,,2005,Denmark,DNK,Denmark,Denmark,WESTERN EUROPE,5450661,43094,126.48,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735,0.018,54.02,43094,11.13,High (0.780 - 0.939),1/1/2005,,3,16.97,Denmark,Denmark,Denmark,0.19,10.36,0.895,31100,,5,5,0.246,4.56,100,2.48,1,45.79,614.6,126.48,5450661,WESTERN EUROPE,0.735,2005,2005
