IncomeBucket,Year-1,GII,Year,Country,Code,Country-1,Country-2,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Agriculture-1,Arable-1,Area-1,Birthrate-1,EducationIndexBucket,Date,GIvsEI,Climate-1,Coastline-1,Country (Sheet1),Country-3,Country-4,Crops-1,Deathrate-1,EI,GDP-1,GII-1,HDI Rank (2015),HDI Rank,Industry-1,Infant mortality-1,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Population-1,Region-1,Service-1,Year-2,Year-3
UM,1995,0.372,1995,Barbados,BRB,Barbados,Barbados,LATIN AMER. & CARIB,279912,431,649.45,22.51,-0.31,12.5,15700,97.4,481.94,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,0.06,37.21,431,12.71,Upper-Medium (0.659 - 0.780),1/1/1995,0.563636364,2,22.51,Barbados,Barbados,Barbados,2.33,8.67,0.66,15700,0.372,54,54,0.16,12.5,97.4,-0.31,1,60.46,481.94,649.45,279912,LATIN AMER. & CARIB,0.78,1995,1995
LM,1995,,1995,Belarus,BLR,Belarus,Belarus,C.W. OF IND. STATES,10293011,207600,49.58,0,2.54,13.37,6100,99.6,319.08,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591,0.093,29.55,207600,11.16,Low-Medium (0.498 - 0.659),1/1/1995,,4,0,Belarus,Belarus,Belarus,0.6,14.02,0.63,6100,,52,52,0.316,13.37,99.6,2.54,1,69.85,319.08,49.58,10293011,C.W. OF IND. STATES,0.591,1995,1995
H,1995,0.163,1995,Belgium,BEL,Belgium,Belgium,WESTERN EUROPE,10379067,30528,339.99,0.22,1.23,4.68,29100,98,462.57,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749,0.01,23.28,30528,10.38,High (0.780 - 0.939),1/1/1995,0.202736318,3,0.22,Belgium,Belgium,Belgium,0.4,10.27,0.804,29100,0.163,22,22,0.24,4.68,98,1.23,1,76.32,462.57,339.99,10379067,WESTERN EUROPE,0.749,1995,1995
LM,1995,0.515,1995,Belize,BLZ,Belize,Belize,LATIN AMER. & CARIB,287730,22966,12.53,1.68,0,25.69,4900,94.1,115.73,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612,0.142,2.85,22966,28.84,Low-Medium (0.498 - 0.659),1/1/1995,0.834683955,2,1.68,Belize,Belize,Belize,1.71,5.72,0.617,4900,0.515,103,103,0.152,25.69,94.1,0,1,95.44,115.73,12.53,287730,LATIN AMER. & CARIB,0.612,1995,1995
L,1995,0.682,1995,Benin,BEN,Benin,Benin,SUB-SAHARAN AFRICA,7862944,112620,69.82,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546,0.316,18.08,112620,38.85,"Low (
0.206 - 0.498)",1/1/1995,2.90212766,2,0.11,Benin,Benin,Benin,2.4,12.22,0.235,1100,0.682,167,167,0.138,85,40.9,0,1,79.52,9.7,69.82,7862944,SUB-SAHARAN AFRICA,0.546,1995,1995
L,1995,,1995,Bhutan,BTN,Bhutan,Bhutan,ASIA (EX. NEAR EAST),2279723,47000,48.5,0,0,100.44,1300,42.2,14.34,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363,0.258,3.09,47000,33.65,,1/1/1995,,2,0,Bhutan,Bhutan,Bhutan,0.43,12.7,,1300,,132,132,0.379,100.44,42.2,0,1,96.48,14.34,48.5,2279723,ASIA (EX. NEAR EAST),0.363,1995,1995
LM,1995,0.551,1995,Botswana,BWA,Botswana,Botswana,SUB-SAHARAN AFRICA,1639833,600370,2.73,0,0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,0.024,0.469,0.507,0.024,0.65,600370,23.08,Low-Medium (0.498 - 0.659),1/1/1995,1.061657033,1,0,Botswana,Botswana,Botswana,0.01,29.5,0.519,9000,0.551,108,108,0.469,54.58,79.8,0,1,99.34,80.5,2.73,1639833,SUB-SAHARAN AFRICA,0.507,1995,1995
UM,1995,0.509,1995,Brazil,BRA,Brazil,Brazil,LATIN AMER. & CARIB,188078227,8511965,22.1,0.09,-0.03,29.61,7600,86.4,225.34,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516,0.084,6.96,8511965,16.56,Low-Medium (0.498 - 0.659),1/1/1995,0.973231358,2,0.09,Brazil,Brazil,Brazil,0.9,6.17,0.523,7600,0.509,79,79,0.4,29.61,86.4,-0.03,1,92.15,225.34,22.1,188078227,LATIN AMER. & CARIB,0.516,1995,1995
LM,1995,0.373,1995,Bulgaria,BGR,Bulgaria,Bulgaria,EASTERN EUROPE,7385367,110910,66.59,0.32,-4.58,20.55,7600,98.6,336.27,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603,0.093,40.02,110910,9.65,Low-Medium (0.498 - 0.659),1/1/1995,0.576506955,3,0.32,Bulgaria,Bulgaria,Bulgaria,1.92,14.27,0.647,7600,0.373,56,56,0.304,20.55,98.6,-4.58,1,58.06,336.27,66.59,7385367,EASTERN EUROPE,0.603,1995,1995
L,1995,,1995,Burundi,BDI,Burundi,Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,0,-0.06,69.29,600,51.6,3.42,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334,0.463,35.05,27830,42.22,"Low (
0.206 - 0.498)",1/1/1995,,2,0,Burundi,Burundi,Burundi,14.02,13.46,0.181,600,,184,184,0.203,69.29,51.6,-0.06,1,50.93,3.42,290.7,8090068,SUB-SAHARAN AFRICA,0.334,1995,1995
