Income Bucket,Year-1,GII,Year,Date,Country,Code,Country-1
LM,1995,0.668,1995,1/1/95,Papua New Guinea,PNG,Papua New Guinea
LM,1995,0.575,1995,1/1/95,Paraguay,PRY,Paraguay
LM,1995,0.547,1995,1/1/95,Peru,PER,Peru
LM,1995,0.483,1995,1/1/95,Philippines,PHL,Philippines
LM,1995,0.258,1995,1/1/95,Poland,POL,Poland
H,1995,0.243,1995,1/1/95,Portugal,PRT,Portugal
H,1995,null,1995,1/1/95,Qatar,QAT,Qatar
LM,1995,0.474,1995,1/1/95,Romania,ROU,Romania
LM,1995,0.467,1995,1/1/95,Russian Federation,RUS,Russian Federation
L,1995,0.583,1995,1/1/95,Rwanda,RWA,Rwanda
LM,1995,null,1995,1/1/95,Samoa,WSM,Samoa
UM,1995,null,1995,1/1/95,Saudi Arabia,SAU,Saudi Arabia
L,1995,0.628,1995,1/1/95,Senegal,SEN,Senegal
..,1995,null,1995,1/1/95,Serbia,SRB,Serbia
L,1995,null,1995,1/1/95,Sierra Leone,SLE,Sierra Leone
H,1995,0.252,1995,1/1/95,Singapore,SGP,Singapore
UM,1995,0.247,1995,1/1/95,Slovenia,SVN,Slovenia
UM,1995,0.424,1995,1/1/95,South Africa,ZAF,South Africa
H,1995,0.157,1995,1/1/95,Spain,ESP,Spain
L,1995,0.72,1995,1/1/95,Sudan,SDN,Sudan
LM,1995,null,1995,1/1/95,Suriname,SUR,Suriname
LM,1995,0.652,1995,1/1/95,Swaziland,SWZ,Swaziland
H,1995,0.09,1995,1/1/95,Sweden,SWE,Sweden
H,1995,0.117,1995,1/1/95,Switzerland,CHE,Switzerland
LM,1995,0.569,1995,1/1/95,Syrian Arab Republic,SYR,Syrian Arab Republic
L,1995,0.558,1995,1/1/95,Tajikistan,TJK,Tajikistan
L,1995,0.652,1995,1/1/95,Tanzania,TZA,Tanzania
LM,1995,0.4,1995,1/1/95,Thailand,THA,Thailand
L,1995,0.741,1995,1/1/95,Togo,TGO,Togo
LM,1995,0.684,1995,1/1/95,Tonga,TON,Tonga
UM,1995,0.426,1995,1/1/95,Trinidad and Tobago,TTO,Trinidad and Tobago
LM,1995,0.532,1995,1/1/95,Tunisia,TUN,Tunisia
LM,1995,0.631,1995,1/1/95,Turkey,TUR,Turkey
LM,1995,0.369,1995,1/1/95,Turkmenistan,TKM,Turkmenistan
L,1995,0.65,1995,1/1/95,Uganda,UGA,Uganda
LM,1995,0.482,1995,1/1/95,Ukraine,UKR,Ukraine
H,1995,0.643,1995,1/1/95,United Arab Emirates,ARE,United Arab Emirates
H,1995,0.237,1995,1/1/95,United Kingdom,GBR,United Kingdom
H,1995,0.305,1995,1/1/95,United States,USA,United States
UM,1995,0.44,1995,1/1/95,Uruguay,URY,Uruguay
LM,1995,null,1995,1/1/95,Uzbekistan,UZB,Uzbekistan
L,1995,0.383,1995,1/1/95,VietNam,VNM,Vietnam
L,1995,0.625,1995,1/1/95,Zambia,ZMB,Zambia
L,1995,0.598,1995,1/1/95,Zimbabwe,ZWE,Zimbabwe
L,2000,null,2000,1/1/00,Afghanistan,AFG,Afghanistan
LM,2000,0.381,2000,1/1/00,Albania,ALB,Albania
LM,2000,0.627,2000,1/1/00,Algeria,DZA,Algeria
UM,2000,0.422,2000,1/1/00,Argentina,ARG,Argentina
L,2000,0.467,2000,1/1/00,Armenia,ARM,Armenia
H,2000,0.16,2000,1/1/00,Australia,AUS,Australia
H,2000,0.151,2000,1/1/00,Austria,AUT,Austria
L,2000,null,2000,1/1/00,Azerbaijan,AZE,Azerbaijan
H,2000,0.385,2000,1/1/00,Bahamas,BHS,Bahamas
UM,2000,null,2000,1/1/00,Bahrain,BHR,Bahrain
L,2000,0.63,2000,1/1/00,Bangladesh,BGD,Bangladesh
H,2000,0.356,2000,1/1/00,Barbados,BRB,Barbados
LM,2000,null,2000,1/1/00,Belarus,BLR,Belarus
H,2000,0.122,2000,1/1/00,Belgium,BEL,Belgium
LM,2000,0.481,2000,1/1/00,Belize,BLZ,Belize
L,2000,0.678,2000,1/1/00,Benin,BEN,Benin
L,2000,null,2000,1/1/00,Bhutan,BTN,Bhutan
LM,2000,0.591,2000,1/1/00,Bolivia,BOL,Bolivia
LM,2000,null,2000,1/1/00,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
UM,2000,0.521,2000,1/1/00,Botswana,BWA,Botswana
UM,2000,0.503,2000,1/1/00,Brazil,BRA,Brazil
LM,2000,0.336,2000,1/1/00,Bulgaria,BGR,Bulgaria
L,2000,0.594,2000,1/1/00,Burundi,BDI,Burundi
L,2000,0.599,2000,1/1/00,Cambodia,KHM,Cambodia
L,2000,0.693,2000,1/1/00,Cameroon,CMR,Cameroon
H,2000,null,2000,1/1/00,Canada,CAN,Canada
L,2000,0.706,2000,1/1/00,Central African Republic,CAF,Central African Republic
L,2000,null,2000,1/1/00,Chad,TCD,Chad
UM,2000,0.434,2000,1/1/00,Chile,CHL,Chile
LM,2000,0.254,2000,1/1/00,China,CHN,China
LM,2000,0.497,2000,1/1/00,Colombia,COL,Colombia
L,2000,null,2000,1/1/00,Côte d'Ivoire,CIV,Côte d'Ivoire
UM,2000,0.206,2000,1/1/00,Croatia,HRV,Croatia
LM,2000,0.393,2000,1/1/00,Cuba,CUB,Cuba
H,2000,0.258,2000,1/1/00,Cyprus,CYP,Cyprus
UM,2000,null,2000,1/1/00,Czech Republic,CZE,Czech Republic
H,2000,0.076,2000,1/1/00,Denmark,DNK,Denmark
LM,2000,0.485,2000,1/1/00,Dominican Republic,DOM,Dominican Republic
LM,2000,0.491,2000,1/1/00,Ecuador,ECU,Ecuador
UM,2000,0.284,2000,1/1/00,Estonia,EST,Estonia
L,2000,null,2000,1/1/00,Ethiopia,ETH,Ethiopia
LM,2000,null,2000,1/1/00,Fiji,FJI,Fiji
H,2000,0.085,2000,1/1/00,Finland,FIN,Finland
H,2000,0.192,2000,1/1/00,France,FRA,France
UM,2000,0.595,2000,1/1/00,Gabon,GAB,Gabon
L,2000,0.422,2000,1/1/00,Georgia,GEO,Georgia
H,2000,0.13,2000,1/1/00,Germany,DEU,Germany
L,2000,null,2000,1/1/00,Ghana,GHA,Ghana
H,2000,0.221,2000,1/1/00,Greece,GRC,Greece
LM,2000,0.599,2000,1/1/00,Guatemala,GTM,Guatemala
LM,2000,0.54,2000,1/1/00,Guyana,GUY,Guyana
L,2000,null,2000,1/1/00,Haiti,HTI,Haiti
LM,2000,0.547,2000,1/1/00,Honduras,HND,Honduras
UM,2000,0.288,2000,1/1/00,Hungary,HUN,Hungary
H,2000,0.149,2000,1/1/00,Iceland,ISL,Iceland
L,2000,null,2000,1/1/00,India,IND,India
L,2000,0.564,2000,1/1/00,Indonesia,IDN,Indonesia
LM,2000,0.62,2000,1/1/00,Iraq,IRQ,Iraq
H,2000,0.201,2000,1/1/00,Ireland,IRL,Ireland
H,2000,0.197,2000,1/1/00,Israel,ISR,Israel
H,2000,0.178,2000,1/1/00,Italy,ITA,Italy
LM,2000,0.469,2000,1/1/00,Jamaica,JAM,Jamaica
H,2000,0.135,2000,1/1/00,Japan,JPN,Japan
LM,2000,0.632,2000,1/1/00,Jordan,JOR,Jordan
LM,2000,0.405,2000,1/1/00,Kazakhstan,KAZ,Kazakhstan
L,2000,0.696,2000,1/1/00,Kenya,KEN,Kenya
H,2000,0.585,2000,1/1/00,Kuwait,KWT,Kuwait
LM,2000,0.276,2000,1/1/00,Latvia,LVA,Latvia
UM,2000,null,2000,1/1/00,Lebanon,LBN,Lebanon
L,2000,0.595,2000,1/1/00,Lesotho,LSO,Lesotho
L,2000,0.689,2000,1/1/00,Liberia,LBR,Liberia
UM,2000,null,2000,1/1/00,Libya,LBY,Libya
LM,2000,0.281,2000,1/1/00,Lithuania,LTU,Lithuania
H,2000,0.175,2000,1/1/00,Luxembourg,LUX,Luxembourg
L,2000,0.692,2000,1/1/00,Malawi,MWI,Malawi
UM,2000,0.34,2000,1/1/00,Malaysia,MYS,Malaysia
LM,2000,0.541,2000,1/1/00,Maldives,MDV,Maldives
L,2000,0.725,2000,1/1/00,Mali,MLI,Mali
H,2000,0.321,2000,1/1/00,Malta,MLT,Malta
L,2000,0.756,2000,1/1/00,Mauritania,MRT,Mauritania
UM,2000,0.452,2000,1/1/00,Mauritius,MUS,Mauritius
UM,2000,0.493,2000,1/1/00,Mexico,MEX,Mexico
L,2000,0.425,2000,1/1/00,Moldova,MDA,Moldova
