IncomeBucket,Year-1,GII,Year,Country,Code,Region,EducationIndexBucket,Date,GIvsEI,Country-3,Country-4,EI,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Year-2,Year-3,FedPercent,GDPPercent,Year-4,HDI Rank (2015),Country-1,Region-1
L,1995,,1995,Chad,TCD,SUB-SAHARAN AFRICA,,1/1/95,,Chad,Chad,,47.5,-0.11,1,97.12,1.31,7.74,1995,1995,2.4,null,1995,186,Chad,SUB-SAHARAN AFRICA
UM,1995,0.476,1995,Chile,CHL,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.759170654,Chile,Chile,0.627,96.2,0,1,96.93,212.96,21.31,1995,1995,7.2,2.6,1995,38,Chile,LATIN AMER. & CARIB
L,1995,,1995,China,CHN,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,,China,China,0.442,90.9,-0.4,1,83.35,266.7,136.92,1995,1995,null,1.8,1995,90,China,ASIA (EX. NEAR EAST)
LM,1995,0.538,1995,Colombia,COL,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/95,1.120833333,Colombia,Colombia,0.48,92.5,-0.31,1,95.91,176.15,38.28,1995,1995,9.8,null,1995,95,Colombia,LATIN AMER. & CARIB
UM,1995,0.28,1995,Croatia,HRV,EASTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,0.501792115,Croatia,Croatia,0.558,98.5,1.58,1,71.65,420.38,79.49,1995,1995,7.2,null,1995,45,Croatia,EASTERN EUROPE
LM,1995,0.428,1995,Cuba,CUB,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.68921095,Cuba,Cuba,0.621,97,-1.58,1,59.35,74.67,102.68,1995,1995,22.8,null,1995,68,Cuba,LATIN AMER. & CARIB
H,1995,0.347,1995,Cyprus,CYP,NEAR EAST,Low-Medium (0.498 - 0.659),1/1/95,0.529770992,Cyprus,Cyprus,0.655,97.6,0.43,1,87.77,,84.79,1995,1995,5.4,3.7,1995,33,Cyprus,NEAR EAST
H,1995,0.102,1995,Denmark,DNK,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.135818908,Denmark,Denmark,0.751,100,2.48,1,45.79,614.6,126.48,1995,1995,33,7.5,1995,5,Denmark,WESTERN EUROPE
LM,1995,0.589,1995,Ecuador,ECU,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,1.042477876,Ecuador,Ecuador,0.565,92.5,-8.58,1,89.22,125.6,47.78,1995,1995,3.7,2,1995,89,Ecuador,LATIN AMER. & CARIB
LM,1995,0.386,1995,Estonia,EST,BALTICS,Upper-Medium (0.659 - 0.780),1/1/95,0.54674221,Estonia,Estonia,0.706,99.8,-3.16,1,83.51,333.75,29.28,1995,1995,10.9,6.1,1995,30,Estonia,BALTICS
L,1995,,1995,Ethiopia,ETH,SUB-SAHARAN AFRICA,,1/1/95,,Ethiopia,Ethiopia,,42.7,0,1,88.54,8.16,66.34,1995,1995,null,null,1995,174,Ethiopia,SUB-SAHARAN AFRICA
LM,1995,0.499,1995,Fiji,FJI,OCEANIA,Upper-Medium (0.659 - 0.780),1/1/95,0.731671554,Fiji,Fiji,0.682,93.7,-3.14,1,84.4,112.59,49.59,1995,1995,5.8,null,1995,91,Fiji,OCEANIA
H,1995,0.103,1995,Finland,FIN,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.13900135,Finland,Finland,0.741,100,0.95,1,92.78,405.25,15.47,1995,1995,33.5,6.8,1995,23,Finland,WESTERN EUROPE
H,1995,0.22,1995,France,FRA,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.301783265,France,France,0.729,99,0.66,1,64.4,586.44,111.28,1995,1995,9,5.8,1995,21,France,WESTERN EUROPE
