IncomeBucket,Year-1,GII,Year,Country,Code,Region,EducationIndexBucket,Date,GIvsEI,Country-3,Country-4,EI,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Year-2,Year-3,FedPercent,GDPPercent,Year-4,HDI Rank (2015),Country-1,Region-1
LM,1995,0.652,1995,Swaziland,SWZ,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.458612975,Swaziland,Swaziland,0.447,81.6,0,1,88.95,30.8,65.45,1995,1995,8.5,5.7,1995,148,Swaziland,SUB-SAHARAN AFRICA
H,1995,0.09,1995,Sweden,SWE,WESTERN EUROPE,High (0.780 - 0.939),1/1/95,0.111524164,Sweden,Sweden,0.807,99,1.67,1,93.45,715.01,20.04,1995,1995,40.4,6.2,1995,14,Sweden,WESTERN EUROPE
H,1995,0.117,1995,Switzerland,CHE,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.160935351,Switzerland,Switzerland,0.727,99,4.05,1,88.97,680.89,182.22,1995,1995,20.3,5.1,1995,2,Switzerland,WESTERN EUROPE
L,1995,0.558,1995,Tajikistan,TJK,C.W. OF IND. STATES,Low-Medium (0.498 - 0.659),1/1/95,0.873239437,Tajikistan,Tajikistan,0.639,99.4,-2.86,1,92.47,33.49,51.16,1995,1995,2.8,2.1,1995,129,Tajikistan,C.W. OF IND. STATES
LM,1995,0.4,1995,Thailand,THA,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,0.923787529,Thailand,Thailand,0.433,92.6,0,1,64.18,108.85,125.74,1995,1995,6.6,3.2,1995,87,Thailand,ASIA (EX. NEAR EAST)
L,1995,0.741,1995,Togo,TGO,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,2.129310345,Togo,Togo,0.348,60.9,0,1,51.64,10.56,97.71,1995,1995,1.2,null,1995,166,Togo,SUB-SAHARAN AFRICA
LM,1995,0.684,1995,Tonga,TON,OCEANIA,Upper-Medium (0.659 - 0.780),1/1/95,0.998540146,Tonga,Tonga,0.685,98.5,0,1,33.33,97.66,153.33,1995,1995,0.1,null,1995,101,Tonga,OCEANIA
LM,1995,0.532,1995,Tunisia,TUN,NORTHERN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.159041394,Tunisia,Tunisia,0.459,74.2,-0.57,1,68.4,123.59,62.19,1995,1995,6.7,6.4,1995,97,Tunisia,NORTHERN AFRICA
LM,1995,0.631,1995,Turkey,TUR,NEAR EAST,"Low (
0.206 - 0.498)",1/1/95,1.477751756,Turkey,Turkey,0.427,86.5,0,1,65.76,269.52,90.21,1995,1995,2.4,2.3,1995,71,Turkey,NEAR EAST
LM,1995,0.369,1995,Turkmenistan,TKM,C.W. OF IND. STATES,,1/1/95,,Turkmenistan,Turkmenistan,,98,-0.86,1,96.14,74.58,10.33,1995,1995,18,null,1995,111,Turkmenistan,C.W. OF IND. STATES
L,1995,0.65,1995,Uganda,UGA,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,2.425373134,Uganda,Uganda,0.268,69.9,0,1,63.47,3.58,119.45,1995,1995,18.1,null,1995,163,Uganda,SUB-SAHARAN AFRICA
LM,1995,0.482,1995,Ukraine,UKR,C.W. OF IND. STATES,Upper-Medium (0.659 - 0.780),1/1/95,0.717261905,Ukraine,Ukraine,0.672,99.7,-0.39,1,42.18,259.94,77.37,1995,1995,3.8,null,1995,84,Ukraine,C.W. OF IND. STATES
UM,1995,0.44,1995,Uruguay,URY,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.722495895,Uruguay,Uruguay,0.609,98,-0.32,1,92.34,291.38,19.48,1995,1995,6.9,2.5,1995,54,Uruguay,LATIN AMER. & CARIB
L,1995,0.383,1995,VietNam,VNM,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,0.927360775,VietNam,VietNam,0.413,90.3,-0.45,1,74.08,187.73,256.11,1995,1995,26.2,null,1995,115,VietNam,ASIA (EX. NEAR EAST)
L,1995,0.625,1995,Zambia,ZMB,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.414027149,Zambia,Zambia,0.442,80.6,0,1,92.9,8.23,15.28,1995,1995,9.7,1.8,1995,139,Zambia,SUB-SAHARAN AFRICA
L,1995,0.598,1995,Zimbabwe,ZWE,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.311403509,Zimbabwe,Zimbabwe,0.456,90.7,0,1,91.34,26.8,31.33,1995,1995,14.7,null,1995,154,Zimbabwe,SUB-SAHARAN AFRICA
L,2000,,2000,Afghanistan,AFG,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,,Afghanistan,Afghanistan,0.235,36,23.06,1,87.65,3.22,47.96,2000,2000,null,null,2000,169,Afghanistan,ASIA (EX. NEAR EAST)
LM,2000,0.381,2000,Albania,ALB,EASTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/00,0.655765921,Albania,Albania,0.581,86.5,-4.93,1,74.49,71.2,124.59,2000,2000,5.2,3.3,2000,75,Albania,EASTERN EUROPE
UM,2000,0.422,2000,Argentina,ARG,LATIN AMER. & CARIB,Upper-Medium (0.659 - 0.780),1/1/00,0.573369565,Argentina,Argentina,0.736,97.1,0.61,1,87.21,220.43,14.43,2000,2000,21.3,4.6,2000,45,Argentina,LATIN AMER. & CARIB
L,2000,0.467,2000,Armenia,ARM,C.W. OF IND. STATES,Upper-Medium (0.659 - 0.780),1/1/00,0.700149925,Armenia,Armenia,0.667,98.6,-6.47,1,80.15,195.71,99.88,2000,2000,3.1,2.8,2000,84,Armenia,C.W. OF IND. STATES
H,2000,0.16,2000,Australia,AUS,OCEANIA,High (0.780 - 0.939),1/1/00,0.17877095,Australia,Australia,0.895,100,3.98,1,93.41,565.53,2.64,2000,2000,25,4.9,2000,2,Australia,OCEANIA
H,2000,0.151,2000,Austria,AUT,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.206566347,Austria,Austria,0.731,98,2,1,82.23,452.22,97.69,2000,2000,25.1,5.6,2000,24,Austria,WESTERN EUROPE
L,2000,,2000,Azerbaijan,AZE,C.W. OF IND. STATES,Low-Medium (0.498 - 0.659),1/1/00,,Azerbaijan,Azerbaijan,0.64,97,-4.9,1,77.66,137.08,91.94,2000,2000,null,3.9,2000,78,Azerbaijan,C.W. OF IND. STATES
H,2000,0.385,2000,Bahamas,BHS,LATIN AMER. & CARIB,Upper-Medium (0.659 - 0.780),1/1/00,0.55,Bahamas,Bahamas,0.7,95.6,-2.2,1,98.8,460.55,21.79,2000,2000,19.6,2.9,2000,58,Bahamas,LATIN AMER. & CARIB
UM,2000,,2000,Bahrain,BHR,NEAR EAST,Low-Medium (0.498 - 0.659),1/1/00,,Bahrain,Bahrain,0.648,89.1,1.05,1,91.55,281.28,1050.5,2000,2000,null,null,2000,47,Bahrain,NEAR EAST
L,2000,0.63,2000,Bangladesh,BGD,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,1.826086957,Bangladesh,Bangladesh,0.345,43.1,-0.71,1,34.82,7.26,1023.37,2000,2000,9.1,2.1,2000,139,Bangladesh,ASIA (EX. NEAR EAST)
H,2000,0.356,2000,Barbados,BRB,LATIN AMER. & CARIB,Upper-Medium (0.659 - 0.780),1/1/00,0.515942029,Barbados,Barbados,0.69,97.4,-0.31,1,60.46,481.94,649.45,2000,2000,20.4,4.6,2000,54,Barbados,LATIN AMER. & CARIB
LM,2000,,2000,Belarus,BLR,C.W. OF IND. STATES,Upper-Medium (0.659 - 0.780),1/1/00,,Belarus,Belarus,0.668,99.6,2.54,1,69.85,319.08,49.58,2000,2000,null,6.2,2000,52,Belarus,C.W. OF IND. STATES
H,2000,0.122,2000,Belgium,BEL,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.146107784,Belgium,Belgium,0.835,98,1.23,1,76.32,462.57,339.99,2000,2000,24.9,null,2000,22,Belgium,WESTERN EUROPE
LM,2000,0.481,2000,Belize,BLZ,LATIN AMER. & CARIB,Upper-Medium (0.659 - 0.780),1/1/00,0.725490196,Belize,Belize,0.663,94.1,0,1,95.44,115.73,12.53,2000,2000,13.5,5,2000,103,Belize,LATIN AMER. & CARIB
L,2000,0.678,2000,Benin,BEN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,2.511111111,Benin,Benin,0.27,40.9,0,1,79.52,9.7,69.82,2000,2000,6,2.9,2000,167,Benin,SUB-SAHARAN AFRICA
L,2000,,2000,Bhutan,BTN,ASIA (EX. NEAR EAST),,1/1/00,,Bhutan,Bhutan,,42.2,0,1,96.48,14.34,48.5,2000,2000,9.3,5.5,2000,132,Bhutan,ASIA (EX. NEAR EAST)
UM,2000,0.521,2000,Botswana,BWA,SUB-SAHARAN AFRICA,Low-Medium (0.498 - 0.659),1/1/00,0.893653516,Botswana,Botswana,0.583,79.8,0,1,99.34,80.5,2.73,2000,2000,17,null,2000,108,Botswana,SUB-SAHARAN AFRICA
UM,2000,0.503,2000,Brazil,BRA,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,0.86130137,Brazil,Brazil,0.584,86.4,-0.03,1,92.15,225.34,22.1,2000,2000,5.9,3.9,2000,79,Brazil,LATIN AMER. & CARIB
LM,2000,0.336,2000,Bulgaria,BGR,EASTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.496307238,Bulgaria,Bulgaria,0.677,98.6,-4.58,1,58.06,336.27,66.59,2000,2000,10.8,null,2000,56,Bulgaria,EASTERN EUROPE
L,2000,0.594,2000,Burundi,BDI,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,3.176470588,Burundi,Burundi,0.187,51.6,-0.06,1,50.93,3.42,290.7,2000,2000,14.4,2.6,2000,184,Burundi,SUB-SAHARAN AFRICA
L,2000,0.599,2000,Cambodia,KHM,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,1.877742947,Cambodia,Cambodia,0.319,69.4,0,1,78.43,2.62,76.68,2000,2000,9.3,1.7,2000,143,Cambodia,ASIA (EX. NEAR EAST)
L,2000,0.693,2000,Cameroon,CMR,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,1.925,Cameroon,Cameroon,0.36,79,0,1,84.61,5.73,36.47,2000,2000,5.6,1.9,2000,153,Cameroon,SUB-SAHARAN AFRICA
H,2000,,2000,Canada,CAN,NORTHERN AMERICA,High (0.780 - 0.939),1/1/00,,Canada,Canada,0.805,97,5.96,1,95.02,552.16,3.31,2000,2000,null,5.5,2000,10,Canada,NORTHERN AMERICA
L,2000,,2000,Chad,TCD,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,,Chad,Chad,0.182,47.5,-0.11,1,97.12,1.31,7.74,2000,2000,2.4,2.6,2000,186,Chad,SUB-SAHARAN AFRICA
UM,2000,0.434,2000,Chile,CHL,LATIN AMER. & CARIB,Upper-Medium (0.659 - 0.780),1/1/00,0.645833333,Chile,Chile,0.672,96.2,0,1,96.93,212.96,21.31,2000,2000,8.9,3.7,2000,38,Chile,LATIN AMER. & CARIB
LM,2000,0.254,2000,China,CHN,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,0.528066528,China,China,0.481,90.9,-0.4,1,83.35,266.7,136.92,2000,2000,21.8,null,2000,90,China,ASIA (EX. NEAR EAST)
LM,2000,0.497,2000,Colombia,COL,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,0.93071161,Colombia,Colombia,0.534,92.5,-0.31,1,95.91,176.15,38.28,2000,2000,12.2,3.5,2000,95,Colombia,LATIN AMER. & CARIB
UM,2000,0.206,2000,Croatia,HRV,EASTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/00,0.31402439,Croatia,Croatia,0.656,98.5,1.58,1,71.65,420.38,79.49,2000,2000,16.1,null,2000,45,Croatia,EASTERN EUROPE
LM,2000,0.393,2000,Cuba,CUB,LATIN AMER. & CARIB,Upper-Medium (0.659 - 0.780),1/1/00,0.592760181,Cuba,Cuba,0.663,97,-1.58,1,59.35,74.67,102.68,2000,2000,27.6,7.7,2000,68,Cuba,LATIN AMER. & CARIB
H,2000,0.258,2000,Cyprus,CYP,NEAR EAST,Upper-Medium (0.659 - 0.780),1/1/00,0.381656805,Cyprus,Cyprus,0.676,97.6,0.43,1,87.77,,84.79,2000,2000,7.1,5,2000,33,Cyprus,NEAR EAST
H,2000,0.076,2000,Denmark,DNK,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.09394314,Denmark,Denmark,0.809,100,2.48,1,45.79,614.6,126.48,2000,2000,37.4,8.1,2000,5,Denmark,WESTERN EUROPE
LM,2000,0.491,2000,Ecuador,ECU,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,0.850953206,Ecuador,Ecuador,0.577,92.5,-8.58,1,89.22,125.6,47.78,2000,2000,14.6,1.2,2000,89,Ecuador,LATIN AMER. & CARIB
UM,2000,0.284,2000,Estonia,EST,BALTICS,High (0.780 - 0.939),1/1/00,0.348466258,Estonia,Estonia,0.815,99.8,-3.16,1,83.51,333.75,29.28,2000,2000,17.8,5.3,2000,30,Estonia,BALTICS
L,2000,,2000,Ethiopia,ETH,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,,Ethiopia,Ethiopia,0.169,42.7,0,1,88.54,8.16,66.34,2000,2000,null,4,2000,174,Ethiopia,SUB-SAHARAN AFRICA
LM,2000,,2000,Fiji,FJI,OCEANIA,Upper-Medium (0.659 - 0.780),1/1/00,,Fiji,Fiji,0.686,93.7,-3.14,1,84.4,112.59,49.59,2000,2000,null,5.9,2000,91,Fiji,OCEANIA
H,2000,0.085,2000,Finland,FIN,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.105853051,Finland,Finland,0.803,100,0.95,1,92.78,405.25,15.47,2000,2000,36.5,5.7,2000,23,Finland,WESTERN EUROPE
H,2000,0.192,2000,France,FRA,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.251968504,France,France,0.762,99,0.66,1,64.4,586.44,111.28,2000,2000,9.1,5.5,2000,21,France,WESTERN EUROPE
UM,2000,0.595,2000,Gabon,GAB,SUB-SAHARAN AFRICA,Low-Medium (0.498 - 0.659),1/1/00,1.091743119,Gabon,Gabon,0.545,63.2,0,1,98.08,27.44,5.32,2000,2000,10.9,3.8,2000,109,Gabon,SUB-SAHARAN AFRICA
L,2000,0.422,2000,Georgia,GEO,C.W. OF IND. STATES,Upper-Medium (0.659 - 0.780),1/1/00,0.588563459,Georgia,Georgia,0.717,99,-4.7,1,84.7,146.56,66.88,2000,2000,7.2,2.2,2000,70,Georgia,C.W. OF IND. STATES
H,2000,0.13,2000,Germany,DEU,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.162297129,Germany,Germany,0.801,99,2.18,1,65.56,667.85,230.86,2000,2000,30.4,null,2000,4,Germany,WESTERN EUROPE
L,2000,,2000,Ghana,GHA,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,,Ghana,Ghana,0.427,74.8,-0.64,1,74.07,14.35,93.58,2000,2000,null,null,2000,139,Ghana,SUB-SAHARAN AFRICA
H,2000,0.221,2000,Greece,GRC,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.324522761,Greece,Greece,0.681,97.5,2.35,1,70.12,589.72,81.01,2000,2000,8.7,3.2,2000,29,Greece,WESTERN EUROPE
LM,2000,0.599,2000,Guatemala,GTM,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/00,1.673184358,Guatemala,Guatemala,0.358,70.6,-1.67,1,82.43,92.09,112.9,2000,2000,8.8,null,2000,125,Guatemala,LATIN AMER. & CARIB
LM,2000,0.54,2000,Guyana,GUY,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,0.962566845,Guyana,Guyana,0.561,98.8,-2.07,1,97.41,143.5,3.57,2000,2000,18.5,8.5,2000,127,Guyana,LATIN AMER. & CARIB
LM,2000,0.547,2000,Honduras,HND,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/00,1.30861244,Honduras,Honduras,0.418,76.2,-1.99,1,87.23,67.48,65.36,2000,2000,9.4,null,2000,130,Honduras,LATIN AMER. & CARIB
UM,2000,0.288,2000,Hungary,HUN,EASTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.391304348,Hungary,Hungary,0.736,99.4,0.86,1,47.85,336.23,107.29,2000,2000,8.3,4.9,2000,43,Hungary,EASTERN EUROPE
H,2000,0.149,2000,Iceland,ISL,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.188846641,Iceland,Iceland,0.789,99.9,2.38,1,99.93,647.65,2.91,2000,2000,34.9,6.5,2000,9,Iceland,WESTERN EUROPE
L,2000,,2000,India,IND,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,,India,India,0.379,59.5,-0.07,1,42.86,45.42,333.18,2000,2000,null,4.3,2000,131,India,ASIA (EX. NEAR EAST)
L,2000,0.564,2000,Indonesia,IDN,ASIA (EX. NEAR EAST),Low-Medium (0.498 - 0.659),1/1/00,1.088803089,Indonesia,Indonesia,0.518,87.9,0,1,81.45,52.03,127.88,2000,2000,8,null,2000,113,Indonesia,ASIA (EX. NEAR EAST)
H,2000,0.201,2000,Ireland,IRL,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.246022032,Ireland,Ireland,0.817,98,4.99,1,84.77,500.46,57.8,2000,2000,13.7,4.1,2000,8,Ireland,WESTERN EUROPE
H,2000,0.197,2000,Israel,ISR,NEAR EAST,High (0.780 - 0.939),1/1/00,0.240243902,Israel,Israel,0.82,95.4,0.68,1,79.44,462.26,305.83,2000,2000,12.5,6.1,2000,19,Israel,NEAR EAST
H,2000,0.178,2000,Italy,ITA,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.254285714,Italy,Italy,0.7,98.6,2.07,1,62.68,430.89,192.99,2000,2000,10,4.3,2000,26,Italy,WESTERN EUROPE
LM,2000,0.469,2000,Jamaica,JAM,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,0.79357022,Jamaica,Jamaica,0.591,87.9,-4.92,1,73.77,124,250.94,2000,2000,16,5,2000,94,Jamaica,LATIN AMER. & CARIB
H,2000,0.135,2000,Japan,JPN,ASIA (EX. NEAR EAST),Upper-Medium (0.659 - 0.780),1/1/00,0.176701571,Japan,Japan,0.764,99,0,1,86.85,461.15,337.35,2000,2000,10.7,3.6,2000,17,Japan,ASIA (EX. NEAR EAST)
LM,2000,0.405,2000,Kazakhstan,KAZ,C.W. OF IND. STATES,Upper-Medium (0.659 - 0.780),1/1/00,0.585260116,Kazakhstan,Kazakhstan,0.692,98.4,-3.35,1,91.97,164.11,5.61,2000,2000,11.2,3.3,2000,56,Kazakhstan,C.W. OF IND. STATES
L,2000,0.696,2000,Kenya,KEN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,1.705882353,Kenya,Kenya,0.408,85.1,-0.1,1,90.94,8.12,59.57,2000,2000,3.6,5.2,2000,146,Kenya,SUB-SAHARAN AFRICA
H,2000,0.585,2000,Kuwait,KWT,NEAR EAST,Low-Medium (0.498 - 0.659),1/1/00,0.983193277,Kuwait,Kuwait,0.595,83.5,14.18,1,99.16,211.01,135.71,2000,2000,0.1,null,2000,51,Kuwait,NEAR EAST
LM,2000,0.276,2000,Latvia,LVA,BALTICS,Upper-Medium (0.659 - 0.780),1/1/00,0.388185654,Latvia,Latvia,0.711,99.8,-2.23,1,69.86,321.36,35.22,2000,2000,17,5.3,2000,44,Latvia,BALTICS
UM,2000,,2000,Lebanon,LBN,NEAR EAST,,1/1/00,,Lebanon,Lebanon,,87.4,0,1,69.4,255.55,372.5,2000,2000,2.3,null,2000,76,Lebanon,NEAR EAST
L,2000,0.595,2000,Lesotho,LSO,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,1.322222222,Lesotho,Lesotho,0.45,84.8,-0.74,1,89,23.73,66.62,2000,2000,10.7,11.5,2000,160,Lesotho,SUB-SAHARAN AFRICA
L,2000,0.689,2000,Liberia,LBR,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,1.68872549,Liberia,Liberia,0.408,57.5,0,1,93.77,2.27,27.31,2000,2000,11.1,null,2000,177,Liberia,SUB-SAHARAN AFRICA
LM,2000,0.281,2000,Lithuania,LTU,BALTICS,Upper-Medium (0.659 - 0.780),1/1/00,0.366362451,Lithuania,Lithuania,0.767,99.6,-0.71,1,53.87,223.4,55,2000,2000,10.6,null,2000,37,Lithuania,BALTICS
H,2000,0.175,2000,Luxembourg,LUX,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.244072524,Luxembourg,Luxembourg,0.717,100,8.97,1,76.32,515.37,183.45,2000,2000,16.7,null,2000,20,Luxembourg,WESTERN EUROPE
L,2000,0.692,2000,Malawi,MWI,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,1.816272966,Malawi,Malawi,0.381,62.7,0,1,75.13,7.89,109.84,2000,2000,9.3,5.2,2000,170,Malawi,SUB-SAHARAN AFRICA
UM,2000,0.34,2000,Malaysia,MYS,ASIA (EX. NEAR EAST),Low-Medium (0.498 - 0.659),1/1/00,0.549273021,Malaysia,Malaysia,0.619,88.7,0,1,76.91,179.04,73.95,2000,2000,14.5,6,2000,59,Malaysia,ASIA (EX. NEAR EAST)
LM,2000,0.541,2000,Maldives,MDV,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,1.258139535,Maldives,Maldives,0.43,97.2,0,1,70,89.97,1196.69,2000,2000,6,null,2000,105,Maldives,ASIA (EX. NEAR EAST)
L,2000,0.725,2000,Mali,MLI,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,4.31547619,Mali,Mali,0.168,46.4,-0.33,1,96.15,6.4,9.45,2000,2000,12.2,3.3,2000,175,Mali,SUB-SAHARAN AFRICA
H,2000,0.321,2000,Malta,MLT,WESTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/00,0.49537037,Malta,Malta,0.648,92.8,2.07,1,68.74,504.98,1266.5,2000,2000,9.2,null,2000,33,Malta,WESTERN EUROPE
L,2000,0.756,2000,Mauritania,MRT,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,2.709677419,Mauritania,Mauritania,0.279,41.7,0,1,99.51,12.9,3.08,2000,2000,3,null,2000,157,Mauritania,SUB-SAHARAN AFRICA
UM,2000,0.452,2000,Mauritius,MUS,SUB-SAHARAN AFRICA,Low-Medium (0.498 - 0.659),1/1/00,0.827838828,Mauritius,Mauritius,0.546,85.6,-0.9,1,47.78,289.32,608.25,2000,2000,5.7,3.8,2000,64,Mauritius,SUB-SAHARAN AFRICA
UM,2000,0.493,2000,Mexico,MEX,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,0.90625,Mexico,Mexico,0.544,92.2,-4.87,1,85.7,181.59,54.47,2000,2000,15.9,4.1,2000,77,Mexico,LATIN AMER. & CARIB
L,2000,0.45,2000,Mongolia,MNG,ASIA (EX. NEAR EAST),Low-Medium (0.498 - 0.659),1/1/00,0.842696629,Mongolia,Mongolia,0.534,97.8,0,1,99.23,55.08,1.81,2000,2000,10.5,5.5,2000,92,Mongolia,ASIA (EX. NEAR EAST)
LM,2000,0.696,2000,Morocco,MAR,NORTHERN AFRICA,"Low (
0.206 - 0.498)",1/1/00,2,Morocco,Morocco,0.348,51.7,-0.98,1,78.22,40.35,74.44,2000,2000,0.7,null,2000,123,Morocco,NORTHERN AFRICA
L,2000,0.645,2000,Mozambique,MOZ,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,2.733050847,Mozambique,Mozambique,0.236,47.8,0,1,94.6,3.54,24.56,2000,2000,30,null,2000,181,Mozambique,SUB-SAHARAN AFRICA
LM,2000,0.546,2000,Namibia,NAM,SUB-SAHARAN AFRICA,Low-Medium (0.498 - 0.659),1/1/00,1.070588235,Namibia,Namibia,0.51,84,0,1,99.01,62.57,2.48,2000,2000,20.4,7,2000,125,Namibia,SUB-SAHARAN AFRICA
L,2000,0.67,2000,Nepal,NPL,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,2.03030303,Nepal,Nepal,0.33,45.2,0,1,77.68,15.86,192.19,2000,2000,7.9,3,2000,144,Nepal,ASIA (EX. NEAR EAST)
H,2000,0.096,2000,Netherlands,NLD,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.116363636,Netherlands,Netherlands,0.825,99,2.91,1,72.32,460.84,397.14,2000,2000,32.9,4.6,2000,7,Netherlands,WESTERN EUROPE
L,2000,0.602,2000,Nicaragua,NIC,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/00,1.317286652,Nicaragua,Nicaragua,0.457,67.5,-1.22,1,82.12,39.66,43.01,2000,2000,9.7,3,2000,124,Nicaragua,LATIN AMER. & CARIB
L,2000,0.818,2000,Niger,NER,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/00,7.051724138,Niger,Niger,0.116,17.6,-0.67,1,96.45,1.92,9.89,2000,2000,1.2,3.2,2000,187,Niger,SUB-SAHARAN AFRICA
H,2000,0.109,2000,Norway,NOR,WESTERN EUROPE,High (0.780 - 0.939),1/1/00,0.122747748,Norway,Norway,0.888,100,1.74,1,97.13,461.74,14.24,2000,2000,36.4,6.5,2000,1,Norway,WESTERN EUROPE
UM,2000,,2000,Oman,OMN,NEAR EAST,"Low (
0.206 - 0.498)",1/1/00,,Oman,Oman,0.475,75.8,0.28,1,99.74,85.49,14.6,2000,2000,null,3.2,2000,52,Oman,NEAR EAST
L,2000,,2000,Pakistan,PAK,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/00,,Pakistan,Pakistan,0.259,45.7,-2.77,1,71.26,31.83,206.24,2000,2000,null,1.8,2000,147,Pakistan,ASIA (EX. NEAR EAST)
UM,2000,0.507,2000,Panama,PAN,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,0.80861244,Panama,Panama,0.627,92.6,-0.91,1,90.66,137.91,40.81,2000,2000,9.9,5,2000,60,Panama,LATIN AMER. & CARIB
LM,2000,0.557,2000,Paraguay,PRY,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,1.062977099,Paraguay,Paraguay,0.524,94,-0.08,1,92.17,49.23,16,2000,2000,8,4.6,2000,110,Paraguay,LATIN AMER. & CARIB
LM,2000,,2000,Peru,PER,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/00,,Peru,Peru,0.636,90.9,-1.05,1,96.71,79.52,22.02,2000,2000,null,3.3,2000,87,Peru,LATIN AMER. & CARIB
LM,2000,0.479,2000,Philippines,PHL,ASIA (EX. NEAR EAST),Low-Medium (0.498 - 0.659),1/1/00,0.843309859,Philippines,Philippines,0.568,92.6,-1.5,1,64.28,38.42,298.23,2000,2000,11.8,3.3,2000,116,Philippines,ASIA (EX. NEAR EAST)
UM,2000,0.205,2000,Poland,POL,EASTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/00,0.264175258,Poland,Poland,0.776,99.8,-0.49,1,52.97,306.28,123.25,2000,2000,12.7,5,2000,36,Poland,EASTERN EUROPE
