%GDP expenditure on Education,Year-1,GII,Year,HDI Rank (2015),Country,F4,F6,F8,F10,F12,F14,F16,F18,Country-1,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,HDI Rank (2015)-1,Country-2,F4-1,F6-1,F8-1,F10-1,F12-1,F14-1,F16-1,F18-1
,1995,0.703,1995,153,Cameroon, a,,,,,,,,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,153,Cameroon,,,,,,,,
6.3,1995,0.184,1995,10,Canada, a,,,,,,,,Canada,NORTHERN AMERICA,33098932,9984670,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,10,Canada,,,,,,,,
,1995,0.74,1995,188,Central African Republic, a,,,,,,,,Central African Republic,SUB-SAHARAN AFRICA,4303356,622984,6.91,0,0,91,1100,51,2.32,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25,188,Central African Republic,,,,,,,,
,1995,,1995,186,Chad,,,,,,,,,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406,186,Chad,,,,,,,,
2.6,1995,0.476,1995,38,Chile, a,,,,,,,,Chile,LATIN AMER. & CARIB,16134219,756950,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,38,Chile,,,,,,,,
1.8,1995,,1995,90,China,,,,,,,,,China,ASIA (EX. NEAR EAST),1313973713,9596960,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,90,China,,,,,,,,
,1995,0.538,1995,95,Colombia, a,,,,,,,,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,95,Colombia,,,,,,,,
4.9,1995,,1995,176,Congo,,,,,,,,,Congo,SUB-SAHARAN AFRICA,62660551,2345410,26.72,0,0,94.69,700,65.5,0.17,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,135,Congo,,,,,,,,
4.9,1995,,1995,135,Congo,,,,,,,,,Congo,SUB-SAHARAN AFRICA,62660551,2345410,26.72,0,0,94.69,700,65.5,0.17,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,135,Congo,,,,,,,,
,1995,0.28,1995,45,Croatia, a,,,,,,,,Croatia,EASTERN EUROPE,4494749,56542,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,45,Croatia,,,,,,,,
